name;summary;url;socialmedia;description;milestones;team;partners
DoorDash;DoorDash is an on-demand delivery service.;http://www.doordash.com;['https://www.twitter.com/doordash', 'https://www.linkedin.com/company/doordash', 'https://www.instagram.com/doordash/'];DoorDash is a technology and logistics company that started with on-demand door-to-door delivery. It empowers local businesses to connect with people through their platform of diners and dashers.;['Founded2013', 'Partnered2014', 'IPO2020'];['https://www.sequoiacap.com/founder/andy-fang/', 'https://www.sequoiacap.com/founder/stanley-tang/', 'https://www.sequoiacap.com/founder/tony-xu/'];['https://www.sequoiacap.com/people/alfred-lin/']
Nubank;Nubank provides next-generation mobile banking and financial services to the Latin American market.;http://www.nubank.com.br;['https://www.twitter.com/nubankbrasil', 'https://www.linkedin.com/company/nubank-brasil'];Nubank is the leading financial technology company in Latin America and the largest independent neobank worldwide, with more than 20 million clients. Initially a no-fee credit card managed by a mobile app, Nubank has since expanded to include a proprietary loyalty rewards program, digital account and personal loans.;['Founded2013', 'Partnered2013'];['https://www.sequoiacap.com/founder/david-velez/', 'https://www.sequoiacap.com/founder/cristina-junqueira/', 'https://www.sequoiacap.com/founder/edward-wible/'];['https://www.sequoiacap.com/people/doug-leone/', 'https://www.sequoiacap.com/people/sonya-huang/']
Zoom;Zoom brings teams together with cloud-based video communications.;https://zoom.us/;['https://www.twitter.com/zoom_us?lang=en', 'https://www.linkedin.com/company-beta/2532259?pathWildcard=2532259'];Zoom provides cloud video conferencing, online meetings, group messaging and a software-defined conference room on one easy-to-use platform. Its product brings teams together so they can connect to others and build toward a future limited only by their imagination.;['Founded2011', 'Partnered2016', 'IPO2019'];['https://www.sequoiacap.com/founder/eric-yuan/'];['https://www.sequoiacap.com/people/carl-eschenbach/', 'https://www.sequoiacap.com/people/pat-grady/']
Snowflake;Snowflake is a data warehouse platform built for the cloud.;https://www.snowflake.net/;['https://www.twitter.com/SnowflakeDB', 'https://www.linkedin.com/company/3653845/', 'https://www.instagram.com/_snowflake_inc/'];Snowflake powers the data cloud. It is a solution for all things data: warehousing, lakes, engineering, science, application development and sharing. It allows organizations to unite their siloed data, easily discover and securely share governed data, and execute diverse analytic workloads.;['Founded2012', 'Partnered2018', 'IPO2020'];['FrankSlootman', 'https://www.sequoiacap.com/founder/thierry-cruanes/', 'https://www.sequoiacap.com/founder/benoit-dageville/', 'https://www.sequoiacap.com/founder/marcin-zukowski/'];['https://www.sequoiacap.com/people/pat-grady/', 'https://www.sequoiacap.com/people/carl-eschenbach/']
23andMe;23andMe is the leading personal genetics information company.;https://www.23andme.com/;['https://www.twitter.com/23andMe?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'https://www.linkedin.com/company/57783/'];23andMe is dedicated to helping individuals understand their own genetic information through DNA analysis technologies and web-based interactive tools. The company’s web-based service tells consumers what their DNA says about their health, traits and ancestry.;['Founded2006', 'Partnered2017', 'IPO2021'];['https://www.sequoiacap.com/founder/anne-wojcicki/'];['https://www.sequoiacap.com/people/roelof-botha/']
Apple;Apple transforms how humans interact with technologies with products like the iPhone, iPod, iPad, Mac and Watch.;http://www.apple.com;['https://www.linkedin.com/company/162479'];Apple revolutionized personal technology with the Macintosh in 1984. It has repeatedly transformed the way humans interact with computers with the iPhone, iPod, MacBook, iMac and other products. Today it is the largest publicly traded company and one of the world’s most recognizable brands. Its forays into the worlds of cloud storage, wearables, music streaming and electric vehicles have proven the company continues to innovate.;['Founded1976', 'Partnered1978', 'IPO1980'];['https://www.sequoiacap.com/founder/steve-jobs/', 'https://www.sequoiacap.com/founder/steve-wozniak/'];[]
FTX;FTX is a crypto-derivatives exchange.;https://ftx.com/;['https://www.twitter.com/FTX_Official'];FTX.COM is a cryptocurrency exchange built by traders, for traders. It offers innovative products including industry-leading derivatives, options and volatility products, tokenized stocks, prediction markets, leveraged tokens and an OTC desk. FTX.COM strives to be an intuitive yet powerful platform for all kinds of users. In less than two years, FTX.COM has become one of the world’s most respected cryptocurrency exchanges.;['Founded2019', 'Partnered2021'];['https://www.sequoiacap.com/founder/samuel-bankman-fried/', 'https://www.sequoiacap.com/founder/gary-wang/', 'https://www.sequoiacap.com/founder/nishad-singh/'];['https://www.sequoiacap.com/people/alfred-lin/', 'https://www.sequoiacap.com/people/michelle-bailhe/']
Vanta;Vanta automates and simplifies security and compliance.;https://www.vanta.com/;['https://www.twitter.com/trustvanta', 'https://www.linkedin.com/company/vanta-security'];Vanta automates and simplifies the complex, time-consuming and tedious process of becoming SOC 2-, HIPAA- or ISO 27001-compliant. It integrates and monitors tools and infrastructure, creates to-do lists for gaps, summarizes results, and connects users with a trained auditor.;['Founded2017', 'Partnered2021'];['https://www.sequoiacap.com/founder/christina-cacioppo/'];['https://www.sequoiacap.com/people/andrew-reed/']
Airbnb;Airbnb connects people around the world with unique homes and unforgettable experiences.;http://www.airbnb.com;['https://www.twitter.com/airbnb', 'https://www.linkedin.com/company/airbnb', 'https://www.instagram.com/airbnb/'];Airbnb brought consumers into the sharing economy with its revolutionary peer-to-peer travel marketplace. Today the company connects people around the world with its unique homes and unforgettable experiences.;['Founded2007', 'Partnered2009', 'IPO2020'];['https://www.sequoiacap.com/founder/nathan-blecharczyk/', 'https://www.sequoiacap.com/founder/brian-chesky/', 'https://www.sequoiacap.com/founder/joe-gebbia/'];['https://www.sequoiacap.com/people/alfred-lin/']
Okta;Okta is an identity-management service that securely and simply connects people to their applications.;http://www.okta.com;['https://www.twitter.com/okta', 'https://www.linkedin.com/company/okta-inc-'];Okta is the foundation for secure connections between people and technology. Harnessing the power of the cloud, it allows people to access applications on any device, at any time, while enforcing security protections. Okta integrates directly with an organization’s existing directories and identity systems.;['Founded2009', 'Partnered2012', 'IPO2017'];['https://www.sequoiacap.com/founder/freddy-kerrest/', 'https://www.sequoiacap.com/founder/todd-mckinnon/'];['https://www.sequoiacap.com/people/pat-grady/']
